Date,AAPL,NVDA,TSLA
2012-01-03,12.345171928405762,0.3218267858028412,1.871999979019165
2012-01-04,12.411518096923828,0.3254943788051605,1.8473329544067383
2012-01-05,12.54931640625,0.3371845781803131,1.8079999685287476
2012-01-06,12.680496215820312,0.3332878351211548,1.7940000295639038
2012-01-09,12.660382270812988,0.3332878351211548,1.8166669607162476
2012-01-10,12.705711364746094,0.33191245794296265,1.841333031654358
2012-01-11,12.684998512268066,0.3252650797367096,1.8819999694824219
2012-01-12,12.650174140930176,0.32320210337638855,1.8833329677581787
2012-01-13,12.602747917175293,0.3147210478782654,1.519333004951477
2012-01-17,12.749545097351074,0.30990728735923767,1.773332953453064
2012-01-18,12.881932258605957,0.3204514980316162,1.7873330116271973
2012-01-19,12.84110164642334,0.32893261313438416,1.784000039100647
2012-01-20,12.617454528808594,0.32595279812812805,1.773332953453064
2012-01-23,12.830897331237793,0.3348924517631531,1.7846670150756836
2012-01-24,12.620759010314941,0.3424566984176636,1.8279999494552612
2012-01-25,13.408780097961426,0.3403937518596649,1.8646670579910278
2012-01-26,13.3478422164917,0.3371845781803131,1.929332971572876
2012-01-27,13.427397727966309,0.34176909923553467,1.9553329944610596
2012-01-30,13.599411010742188,0.3392477035522461,1.9713330268859863
2012-01-31,13.703581809997559,0.33855998516082764,1.937999963760376
2012-02-01,13.694877624511719,0.342227578163147,1.972000002861023
2012-02-02,13.662752151489258,0.35506385564804077,2.016666889190674
2012-02-03,13.799649238586426,0.3626282215118408,2.076667070388794
2012-02-06,13.928430557250977,0.3598775267601013,2.119999885559082
2012-02-07,14.074333190917969,0.3607945442199707,2.1066670417785645
2012-02-08,14.309992790222168,0.37386009097099304,2.128667116165161
2012-02-09,14.805021286010742,0.3736308515071869,2.171999931335449
2012-02-10,14.812527656555176,0.36446207761764526,2.0733330249786377
2012-02-13,15.088111877441406,0.37019258737564087,2.0993330478668213
2012-02-14,15.294048309326172,0.37225541472435,2.2113330364227295
2012-02-15,14.940113067626953,0.370650976896286,2.240000009536743
2012-02-16,15.076404571533203,0.3770691454410553,2.2786669731140137
2012-02-17,15.073698997497559,0.3633158802986145,2.3313329219818115
2012-02-21,15.455860137939453,0.3651496171951294,2.299999952316284
2012-02-22,15.40151596069336,0.3626282215118408,2.2813329696655273
2012-02-23,15.502084732055664,0.3646911084651947,2.302000045776367
2012-02-24,15.682807922363281,0.36194056272506714,2.25
2012-02-27,15.783379554748535,0.35460540652275085,2.2413330078125
2012-02-28,16.07306480407715,0.3513963222503662,2.253999948501587
2012-02-29,16.28411293029785,0.3472703993320465,2.2273330688476562
2012-03-01,16.34505844116211,0.3495626449584961,2.2939999103546143
2012-03-02,16.36636734008789,0.352542519569397,2.2693328857421875
2012-03-05,16.005525588989258,0.3406229317188263,2.251332998275757
2012-03-06,15.918469429016113,0.33741384744644165,2.2073330879211426
2012-03-07,15.931368827819824,0.3394767940044403,2.2079999446868896
2012-03-08,16.27060890197754,0.3406229317188263,2.204667091369629
2012-03-09,16.366065979003906,0.33970603346824646,2.315999984741211
2012-03-12,16.571107864379883,0.33443397283554077,2.4006669521331787
2012-03-13,17.05443000793457,0.339018315076828,2.4059998989105225
2012-03-14,17.699262619018555,0.32939112186431885,2.3526670932769775
2012-03-15,17.578582763671875,0.33420470356941223,2.3333330154418945
2012-03-16,17.57888412475586,0.3346632122993469,2.3546669483184814
2012-03-19,18.045089721679688,0.3355801999568939,2.3320000171661377
2012-03-20,18.190988540649414,0.33007878065109253,2.330667018890381
2012-03-21,18.087120056152344,0.3314540982246399,2.3433330059051514
2012-03-22,17.992258071899414,0.3309957683086395,2.293333053588867
2012-03-23,17.893489837646484,0.33351704478263855,2.2720000743865967
2012-03-26,18.221607208251953,0.33741384744644165,2.493333101272583
2012-03-27,18.446765899658203,0.33970603346824646,2.5293331146240234
2012-03-28,18.54102325439453,0.3474995791912079,2.5233330726623535
2012-03-29,18.308076858520508,0.3491041958332062,2.4886670112609863
2012-03-30,17.99856185913086,0.3530009090900421,2.4826669692993164
2012-04-02,18.571340560913086,0.3513963222503662,2.438667058944702
2012-04-03,18.892255783081055,0.34566572308540344,2.5339999198913574
2012-04-04,18.741859436035156,0.3358093798160553,2.3333330154418945
2012-04-05,19.02315330505371,0.3353508412837982,2.2986669540405273
2012-04-09,19.099695205688477,0.3309957683086395,2.2100000381469727
2012-04-10,18.865840911865234,0.3245773911476135,2.1640000343322754
2012-04-11,18.798595428466797,0.3287035822868347,2.2060000896453857
2012-04-12,18.69562339782715,0.3364969789981842,2.22933292388916
2012-04-13,18.169076919555664,0.3245773911476135,2.239332914352417
2012-04-16,17.415571212768555,0.32068079710006714,2.1500000953674316
2012-04-17,18.303268432617188,0.32136842608451843,2.1493330001831055
2012-04-18,18.262435913085938,0.31793010234832764,2.177333116531372
2012-04-19,17.635019302368164,0.3131164610385895,2.2106668949127197
2012-04-20,17.200923919677734,0.3069274127483368,2.2106668949127197
2012-04-23,17.162490844726562,0.30325984954833984,2.129333019256592
2012-04-24,16.81967544555664,0.2938617765903473,2.121332883834839
2012-04-25,18.31226921081543,0.2998215854167938,2.194000005722046
2012-04-26,18.243227005004883,0.30005088448524475,2.2326669692993164
2012-04-27,18.102127075195312,0.2975294291973114,2.2226669788360596
2012-04-30,17.531147003173828,0.2979877293109894,2.208667039871216
2012-05-01,17.475614547729492,0.30325984954833984,2.252000093460083
2012-05-02,17.591184616088867,0.29454949498176575,2.262666940689087
2012-05-03,17.466304779052734,0.2895066440105438,2.1640000343322754
